Open,High,Low,Close,Adj Close,Volume
3.01,3.17,3.01,3.06,3.06,355900
3.14,3.395,3.113,3.37,3.37,919000
3.34,3.49,3.34,3.39,3.39,410900
3.4,3.5,3.34,3.44,3.44,512900
3.43,3.48,3.345,3.46,3.46,309600
3.35,3.47,3.211,3.32,3.32,356800
3.28,3.43,3.23,3.29,3.29,347500
3.25,3.44,3.21,3.32,3.32,324800
3.25,3.33,3.2,3.24,3.24,207800
3.2,3.23,3.02,3.09,3.09,423900
3.17,3.24,3.13,3.18,3.18,555700
3.16,3.22,3.139,3.14,3.14,260900
3.08,3.24,3.07,3.17,3.17,210200
3.18,3.28,3.11,3.13,3.13,231300
3.12,3.32,3.12,3.18,3.18,153000
3.13,3.14,3.025,3.05,3.05,202800
3.05,3.06,2.94,2.97,2.97,357500
2.99,3.11,2.99,3.03,3.03,260300
2.98,3.03,2.965,2.99,2.99,367400
2.99,3.12,2.96,2.96,2.96,347500
3.06,3.112,3.03,3.08,3.08,234700
3.11,3.404,3.11,3.34,3.34,553400
3.39,3.39,3.16,3.18,3.18,288100
3.15,3.25,3.08,3.19,3.19,194400
3.19,3.34,3.19,3.24,3.24,229500
3.26,3.421,3.26,3.29,3.29,253400
3.24,3.275,3.12,3.15,3.15,175000
3.02,3.15,2.995,3.02,3.02,393200
3,3.125,2.97,2.99,2.99,319200
3.02,3.19,2.98,3,3,335900
2.95,3.14,2.95,3.07,3.07,356700
3.1,3.17,3,3.01,3.01,296400
3.12,3.26,3.05,3.19,3.19,343700
3.2,3.31,3.19,3.23,3.23,353000
3.17,3.24,3.05,3.2,3.2,1102800
3.08,3.21,3.01,3.05,3.05,361500
3.07,3.16,3.035,3.09,3.09,281900
3.09,3.14,3.02,3.03,3.03,243700
3.06,3.06,2.93,3.02,3.02,316600
2.94,3.01,2.9,3.01,3.01,268900
3.01,3.03,2.93,2.93,2.93,298700
3,3.09,2.97,2.97,2.97,164700
2.93,2.96,2.87,2.9,2.9,273400
2.88,2.92,2.85,2.9,2.9,217500
2.8,2.86,2.7,2.8,2.8,356400
2.77,2.82,2.74,2.78,2.78,196300
2.8,2.99,2.8,2.93,2.93,323300
2.83,2.92,2.74,2.83,2.83,416200
2.83,2.95,2.83,2.83,2.83,277000
2.71,2.91,2.71,2.77,2.77,348100
2.77,2.88,2.77,2.84,2.84,227100
2.84,2.98,2.779,2.82,2.82,386400
2.81,2.945,2.81,2.86,2.86,240500
2.89,2.93,2.85,2.85,2.85,298800
2.87,2.95,2.811,2.89,2.89,440500
2.84,2.93,2.82,2.88,2.88,210100
2.82,2.96,2.79,2.8,2.8,402900
2.87,2.96,2.79,2.82,2.82,446200
2.75,2.81,2.67,2.71,2.71,319400
2.61,2.74,2.6,2.62,2.62,243100
2.62,2.68,2.46,2.51,2.51,360800
2.52,2.55,2.43,2.45,2.45,279400
2.53,2.59,2.48,2.48,2.48,305200
2.44,2.52,2.44,2.44,2.44,255700
2.44,2.505,2.38,2.38,2.38,248000
2.49,2.52,2.425,2.51,2.51,340700
2.5,2.59,2.486,2.5,2.5,217600
2.47,2.58,2.425,2.53,2.53,251500
2.53,2.58,2.5,2.56,2.56,258300
2.56,2.66,2.545,2.56,2.56,240100
2.5,2.575,2.5,2.52,2.52,214100
2.6,2.74,2.54,2.72,2.72,344700
2.7,2.801,2.7,2.76,2.76,266700
2.7,2.82,2.69,2.7,2.7,293300
2.7,2.81,2.685,2.78,2.78,211300
2.7,2.74,2.45,2.455,2.455,455700
2.49,2.58,2.469,2.53,2.53,141500
2.43,2.51,2.39,2.49,2.49,438800
2.42,2.55,2.37,2.38,2.38,426000
2.38,2.48,2.38,2.47,2.47,175800
2.45,2.5,2.4,2.47,2.47,194000
2.45,2.545,2.45,2.49,2.49,225000
2.47,2.54,2.47,2.54,2.54,192900
2.55,2.79,2.54,2.72,2.72,378700
2.72,2.77,2.705,2.73,2.73,182100
2.73,2.785,2.63,2.67,2.67,238100
2.64,2.705,2.59,2.61,2.61,219900
2.58,2.74,2.57,2.7,2.7,221500
2.66,2.945,2.66,2.91,2.91,297600
2.92,2.93,2.85,2.88,2.88,355200
2.84,3.03,2.82,2.91,2.91,314600
2.89,2.99,2.84,2.87,2.87,216700
